Video Time (hh:min:sec.millis),Face Id,Face name,Frame index,Angry,Contempt,Disgust,Fear,Happy,Neutral,Sad,Surprise,Dominant Emotion,Arousal,Valence,Intensity
00:00:00:033,1,Face 1,1,0.0276,0.0751,0.0062,0.0028,0.0942,0.7078,0.0719,0.0145,neutral,-0.00,-0.00,0.00
00:00:00:067,1,Face 1,2,0.0477,0.0732,0.0065,0.0028,0.0593,0.7440,0.0533,0.0132,neutral,0.00,-0.00,0.00
00:00:00:101,1,Face 1,3,0.0315,0.1515,0.0050,0.0025,0.1719,0.5801,0.0426,0.0149,neutral,0.00,-0.00,0.00
00:00:00:134,1,Face 1,4,0.0288,0.1064,0.0044,0.0025,0.1144,0.7152,0.0188,0.0097,neutral,0.00,-0.00,0.00
00:00:00:168,1,Face 1,5,0.0189,0.0450,0.0038,0.0027,0.0589,0.8132,0.0462,0.0112,neutral,0.00,-0.00,0.00
00:00:00:202,1,Face 1,6,0.0247,0.0411,0.0050,0.0033,0.0302,0.7879,0.0931,0.0147,neutral,-0.00,-0.00,0.00
00:00:00:236,1,Face 1,7,0.0304,0.0307,0.0079,0.0120,0.0354,0.7345,0.1187,0.0303,neutral,-0.00,-0.00,0.00
00:00:00:269,1,Face 1,8,0.0218,0.0237,0.0034,0.0023,0.0366,0.8724,0.0291,0.0107,neutral,0.00,-0.00,0.00
00:00:00:303,1,Face 1,9,0.0086,0.0630,0.0025,0.0020,0.3678,0.5207,0.0127,0.0227,neutral,0.00,0.00,0.00
00:00:00:337,1,Face 1,10,0.0165,0.0297,0.0070,0.0028,0.2819,0.6140,0.0318,0.0164,neutral,0.00,0.00,0.00
00:00:00:371,1,Face 1,11,0.0046,0.0149,0.0013,0.0008,0.7195,0.2354,0.0044,0.0191,happy,0.00,0.01,0.01
00:00:00:404,1,Face 1,12,0.0088,0.0315,0.0032,0.0016,0.5834,0.3223,0.0082,0.0409,happy,0.00,0.01,0.01
00:00:00:438,1,Face 1,13,0.0037,0.0248,0.0038,0.0006,0.6530,0.2876,0.0059,0.0206,happy,0.00,0.01,0.01
00:00:00:472,1,Face 1,14,0.0022,0.0163,0.0014,0.0006,0.6671,0.2776,0.0046,0.0302,happy,0.00,0.01,0.01
00:00:00:505,1,Face 1,15,0.0029,0.0209,0.0008,0.0004,0.7544,0.1835,0.0014,0.0357,happy,0.00,0.01,0.01
